skill_id,canonical_name,abbreviation,aliases,skill_group,observed_count
SK0099,Data Validation,,data validation,"Data Quality, Testing & Observability",3
SK0100,Data Vault,,DataVault; Data Vault modeling,Data Engineering & Architecture,1
SK0101,Data Visualization,,data viz; visualization,Data Analysis & BI,2
SK0102,Data Warehouse,DWH,data warehousing,Data Engineering & Architecture,10
SK0103,Database Design,,,"Databases, Storage & Data Formats",0
SK0104,Database Normalization,,,"Databases, Storage & Data Formats",0
SK0105,Database Triggers,,,"Databases, Storage & Data Formats",0
SK0106,Database Views,,,"Databases, Storage & Data Formats",0
SK0107,Databases,,,"Databases, Storage & Data Formats",6
SK0108,Databricks,,,Cloud Platforms & Services,6
SK0109,Debezium,,,"Distributed, Streaming & Big Data",1
SK0110,Debugging,,,Software Engineering & APIs,3
SK0111,Decision Trees,,,"Machine Learning, Statistics & Optimization",0
SK0112,Deep Graph Library,DGL,,"Machine Learning, Statistics & Optimization",1
SK0113,Deep Learning,DL,,"Machine Learning, Statistics & Optimization",5
SK0114,DeepSeek,,,Generative AI & Agentic Systems,1
SK0115,Delta Lake,,Delta,"Databases, Storage & Data Formats",4
SK0116,Detection Engineering,,,Security Engineering,1
SK0117,Detection Modeling,,,Applied Analytics & Business Platforms,0
SK0118,DevOps,,,"DevOps, MLOps & Infrastructure",9
SK0119,Developer Tooling,,,Software Engineering & APIs,1
SK0120,Devin,,,Generative AI & Agentic Systems,1
SK0121,Dify,,,Generative AI & Agentic Systems,0
SK0122,Distributed Computing,,,"Distributed, Streaming & Big Data",0
SK0123,Distributed Systems,,,"Distributed, Streaming & Big Data",4
SK0124,Django,,,Software Engineering & APIs,1
SK0125,Docker,,,"DevOps, MLOps & Infrastructure",6
SK0126,Dynamic Pricing,,,"Machine Learning, Statistics & Optimization",0
SK0127,ELT,,Extract Load Transform; Extract-Load-Transform,Data Engineering & Architecture,11
SK0128,ETL,,Extract Transform Load; Extract-Transform-Load,Data Engineering & Architecture,17
SK0129,Elasticsearch,,,"Databases, Storage & Data Formats",2
SK0130,Embeddings,,,Generative AI & Agentic Systems,1
SK0131,Entity Matching,,,Applied Analytics & Business Platforms,0
SK0132,Event-Driven Architecture,,,"Distributed, Streaming & Big Data",0
SK0133,Event-Time Processing,,,"Distributed, Streaming & Big Data",1
SK0134,Experimental Design,,,"Machine Learning, Statistics & Optimization",0
SK0135,Exploratory Data Analysis,EDA,,"Machine Learning, Statistics & Optimization",0
SK0136,FastAPI,,,Software Engineering & APIs,2
SK0137,Feature Engineering,,,"Machine Learning, Statistics & Optimization",2
SK0138,Feature Pipelines,,,Data Engineering & Architecture,2
SK0139,Feature Store,,feature stores,Data Engineering & Architecture,4
SK0140,Fine-Tuning,,fine tuning; fine-tuning,Generative AI & Agentic Systems,3
SK0141,Flask,,,Software Engineering & APIs,1
SK0142,Forecasting,,demand forecasting,"Machine Learning, Statistics & Optimization",3
SK0143,Fraud Detection,,fraud analytics,Applied Analytics & Business Platforms,1
SK0144,Funnel Analysis,,funnel analytics,Applied Analytics & Business Platforms,1
SK0145,Gemini,,,Generative AI & Agentic Systems,2
SK0146,Generative AI,GenAI,Generative Artificial Intelligence,Generative AI & Agentic Systems,6
SK0147,Generative Models,,,Generative AI & Agentic Systems,0
SK0148,Geospatial Data,,,"Databases, Storage & Data Formats",0
SK0149,Git,,,"DevOps, MLOps & Infrastructure",8
SK0150,Git Flow,,,"DevOps, MLOps & Infrastructure",1
SK0151,Go,,,Programming & Query Languages,1
SK0152,Google Analytics 4,GA4,,Data Analysis & BI,0
SK0153,Google Cloud Dataflow,,,Cloud Platforms & Services,0
SK0154,Google Cloud Platform,GCP,,Cloud Platforms & Services,9
SK0155,Google Cloud Storage,GCS,,Cloud Platforms & Services,0
SK0156,Google Compute Engine,GCE,Compute Engine,Cloud Platforms & Services,1
SK0157,Google Sheets,GSheets,,Data Analysis & BI,2
